,Tipo de Fuente,Fuente,Descripción,Sector,País/Región,Idioma,URL,RSS,Observaciones,Generado?,Probado?,OBSERVACIONES NUESTRAS,TIENE RSS EN LA SECCIÓN DE REDES SOCIALES?,RSS ACTUAL LLEVA A ALGÚN LADO?
,Tecnologías Médicas,Bonorino Academy (CONICET),Cursos,Tecnologías,Argentina,Español,https://cursos-landing-individuales.vercel.app/ ,,,,,,,
,Tecnologías médicas ,ACADEMIA SADIO | Sociedad Argentina de Informática,Cursos,Tecnologías,Argentina,Español, https://academia.sadio.org.ar/ ,,,,,,,
,Tecnologías médicas ,"Secretaria de Innovación, Ciencia y Tecnología







",Convocatorias,Gral.,Argentina,Español,https://www.argentina.gob.ar/ciencia/convocatorias,,,,,,,
,Emprendedores,"Secretaria de Innovación, Ciencia y Tecnología







",Convocatorias,Gral.,Argentina,Español,https://www.argentina.gob.ar/ciencia/empresas-y-emprendedores ,,,,,,,
,Tecnologías Médicas - Emprendedores,Universidad Nacional de Córdoba - Secretaría de Innovación y Vinculación Tecnológica,Financiamiento,Gral.,Argentina,Español, https://www.unc.edu.ar/secretar%C3%ADa-de-innovaci%C3%B3n-y-vinculaci%C3%B3n-tecnol%C3%B3gica/conoc%C3%A9-los-financiamientos ,,,,,,,
,Emprendedores,Innovab,Novedades,Gral.,Argentina,,https://innovab.cordoba.gob.ar// ,,,,,,,
1,Tecnologías Médicas,Agencia nacional de promoción científica y tecnológica - MinCyT,Financiamiento,Gral.,Argentina,Español,https://www.argentina.gob.ar/ciencia/agencia/financiamiento-idi,,,,,,,
,,,Convocatorias,Gral.,Argentina,Español,https://www.argentina.gob.ar/ciencia/financiamiento/convocatorias-abiertas-mincyt,,,,,,,
,,,Concursos,Gral.,Argentina,Español,https://cii.agencia.mincyt.gob.ar/#/,,,,,,,
,,"Secretaria de Innovación, Ciencia y Tecnología",Tecnologías de la Información,Ciudadanía e Inclusión Digital,Argentina,Español,https://www.argentina.gob.ar/jefatura/innovacion-ciencia-y-tecnologia/tecnologias-de-la-informacion/ciudadania-e-inclusion,,,,,,,
,,,,Soluciones Tecnológicas para la Administración Pública,Argentina,Español,https://www.argentina.gob.ar/jefatura/innovacion-ciencia-y-tecnologia/tecnologias-de-la-informacion/solucione,,,,,,,
,,,Ciencia y Tecnología,Financiamiento,Argentina,Español,https://www.argentina.gob.ar/ciencia/financiamiento,,,,,,,
,,,,Publicaciones,Argentina,Español,https://www.argentina.gob.ar/ciencia/publicaciones-cyt,,,,,,,
,,,,"Científicas/os, investigadoras/es e instituciones",Argentina,Español,https://www.argentina.gob.ar/ciencia/cientificos-investigadores-e-instituciones,,,,,,,
,,,,Empresas y Emprendedoras/es,Argentina,Español,https://www.argentina.gob.ar/ciencia/empresas-y-emprendedores,,,,,,,
,,,,Estudiantes,Argentina,Español,https://www.argentina.gob.ar/ciencia/estudiantes,,,,,,,
,,,,Curiosas/os por la ciencia,Argentina,Español,https://www.argentina.gob.ar/ciencia/curiosos,,,,,,,
,,,Innovación,Noticias,Argentina,Español,https://www.argentina.gob.ar/jefatura/innovacion-ciencia-y-tecnologia/innovacion/noticias,,,,,,,
2,,FONARSEC,Ventanilla permanente,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/5/ventanilla,,,,,,,
,,,Convocatoria Pública,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/5/convocatoria,,,,,,,
3,,FONCYT,Ventanilla permanente,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/3/ventanilla,,,,,,,
,,,Convocatoria Pública,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/3/convocatoria,,,,,,,
4,,FONTAR,Ventanilla permanente,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/4/ventanilla,,,,,,,
,,,Convocatoria Pública,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/4/convocatoria,,,,,,,
5,,FONSOFT,Ventanilla permanente,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/2/ventanilla,,,,,,,
,,,Convocatoria Pública,Gral.,Argentina,Español,http://www.agencia.mincyt.gob.ar/frontend/agencia/instrumentos/2/convocatoria,,,,,,,
,,,Beneficios fiscales,Gral.,Argentina,Español,https://www.argentina.gob.ar/produccion/beneficios-impositivos,,Poca frecuencia,SI,SI,URL correcto,No,No
,,NANOU,Cursos ,,Argentina,Español,https://nanou.org.ar/ ,,,,,,,
9,,BID,Noticias,Gral.,Latinoamérica,Español,https://www.iadb.org/es/home/sala-de-prensa,,,SI,SI,URL correcto,No,No
,,,Proyectos,Gral.,Latinoamérica,Español,https://www.iadb.org/es/proyectos,,,,,,,
,,,Eventos,Gral.,Latinoamérica,Español,https://events.iadb.org/calendar/?lang=es,,,,,,,
,,,Cursos,Gral.,Latinoamérica,Español,https://cursos.iadb.org/es,,,,,,,
,,,Publicaciones,Gral.,Latinoamérica,Español,https://publications.iadb.org/es,,,,,,,
10,,Secretaría de Educación,Convocatorias,Educ.,Argentina,Español,https://www.argentina.gob.ar/educacion/convocatorias,,Tiene las líneas del SPU,SI,SI,URL correcto,No,No
12,,Common Fund for Commodities (CFC),Convocatorias,Gral.,Paises Bajos,Inglés,https://www.common-fund.org/call-for-proposals,,,NO,SI,URL modificado,,No
13,Tecnologías Médicas,Red Bio Argentina,Cursos,Biotec.,Argentina,Español,http://www.redbioargentina.org.ar/cursos-y-talleres/,,,,,,,
,,,Jornadas y workshops,Biotec.,Argentina,Español,http://www.redbioargentina.org.ar/jornadas/,,,,,,,
,,,Simposios y congresos,Biotec.,Argentina,Español,http://www.redbioargentina.org.ar/simposios-y-congresos/,,,,,,,
14,Tecnologías Médicas - Emprendedores,Programa horizonte,Financiamiento,Gral.,UE,Inglés,https://commission.europa.eu/research-and-innovation_es,,,NO,SI,URL modificado,No,Si
